season,game_date,home_team,away_team,home_games_played,home_wins,home_win_pct,home_ppg,home_opp_ppg,home_point_diff,home_fg_pct,home_fg3_pct,home_ft_pct,home_rebounds,home_assists,home_turnovers,home_steals,home_blocks,home_plus_minus,home_last_5_ppg,home_last_10_ppg,home_last_5_wins,home_last_10_wins,away_games_played,away_wins,away_win_pct,away_ppg,away_opp_ppg,away_point_diff,away_fg_pct,away_fg3_pct,away_ft_pct,away_rebounds,away_assists,away_turnovers,away_steals,away_blocks,away_plus_minus,away_last_5_ppg,away_last_10_ppg,away_last_5_wins,away_last_10_wins,win_pct_diff,ppg_diff,point_diff_diff,fg_pct_diff,fg3_pct_diff,turnover_diff,rebound_diff,expected_total_simple,expected_total_vs_defense,home_momentum,away_momentum,actual_total,home_score,away_score,game_id
2022-23,2022-10-22,IND,,2,0,0.0,120.5,125.5,-5.0,0.446,0.3355,0.8109999999999999,42.0,26.5,15.5,7.5,5.5,-5.0,120.5,120.5,0,0,2,1,0.5,109.5,119.5,-10.0,0.4295,0.309,0.6930000000000001,45.0,28.5,14.0,8.5,3.0,-10.0,109.5,109.5,1,1,-0.5,11.0,5.0,0.016500000000000015,0.026500000000000024,-1.5,-3.0,230.0,240.0,-2.5,-1.5,239,124,115,0022200029
2022-23,2022-10-22,PHI,,2,0,0.0,102.5,108.0,-5.5,0.46699999999999997,0.295,0.8514999999999999,37.5,16.5,12.0,7.0,4.0,-5.5,102.5,102.5,0,0,2,1,0.5,119.5,131.5,-12.0,0.47350000000000003,0.377,0.7204999999999999,40.5,28.0,16.0,8.5,6.0,-12.0,119.5,119.5,1,1,-0.5,-17.0,6.5,-0.006500000000000061,-0.08200000000000002,4.0,-3.0,222.0,234.0,-2.5,-1.5,219,105,114,0022200028
2022-23,2022-10-23,ATL,,2,2,1.0,112.5,102.5,10.0,0.47450000000000003,0.34950000000000003,0.8855,42.0,28.0,13.0,11.0,3.5,10.0,112.5,112.5,2,2,2,1,0.5,120.5,113.0,7.5,0.48250000000000004,0.41500000000000004,0.8280000000000001,44.0,28.0,14.5,8.0,7.0,7.5,120.5,120.5,1,1,0.5,-8.0,2.5,-0.008000000000000007,-0.0655,1.5,-2.0,233.0,225.5,-0.5,-1.5,235,109,126,0022200038
2022-23,2022-10-23,CLE,,2,1,0.5,116.5,102.0,14.5,0.5295,0.475,0.8574999999999999,43.0,28.5,17.5,4.5,5.0,14.5,116.5,116.5,1,1,2,2,1.0,108.0,103.5,4.5,0.485,0.37,0.8505,46.0,23.5,17.0,6.5,9.0,4.5,108.0,108.0,2,2,-0.5,8.5,10.0,0.044499999999999984,0.10499999999999998,-0.5,-3.0,224.5,220.0,-1.5,-0.5,224,117,107,0022200039
2022-23,2022-10-23,NOP,,2,2,1.0,127.0,110.0,17.0,0.481,0.41300000000000003,0.7925,57.0,27.0,14.5,9.0,5.5,17.0,127.0,127.0,2,2,2,2,1.0,127.5,114.0,13.5,0.47350000000000003,0.4105,0.7045,48.5,33.0,16.5,10.5,4.5,13.5,127.5,127.5,2,2,0.0,-0.5,3.5,0.007499999999999951,0.0025000000000000577,2.0,8.5,254.5,241.0,-0.5,-0.5,243,121,122,0022200040
2022-23,2022-10-23,GSW,,2,1,0.5,123.0,118.5,4.5,0.46599999999999997,0.34850000000000003,0.8140000000000001,41.5,32.5,18.5,10.5,3.5,4.5,123.0,123.0,1,1,2,0,0.0,108.5,113.0,-4.5,0.46499999999999997,0.393,0.6305000000000001,40.0,25.5,14.0,6.5,5.0,-4.5,108.5,108.5,0,0,0.5,14.5,9.0,0.0010000000000000009,-0.044499999999999984,-4.5,1.5,231.5,236.0,-1.5,-2.5,255,130,125,0022200042
2022-23,2022-10-23,LAC,,2,2,1.0,107.0,103.0,4.0,0.48450000000000004,0.3595,0.777,49.0,21.0,18.0,7.5,5.0,4.0,107.0,107.0,2,2,2,1,0.5,109.0,109.0,0.0,0.46399999999999997,0.367,0.7889999999999999,40.5,28.0,14.5,9.0,3.0,0.0,109.0,109.0,1,1,0.5,-2.0,4.0,0.020500000000000074,-0.007500000000000007,-3.5,8.5,216.0,216.0,-0.5,-1.5,207,95,112,0022200043
2022-23,2022-10-23,LAL,,2,0,0.0,103.0,113.0,-10.0,0.38849999999999996,0.225,0.8029999999999999,43.0,23.0,16.0,12.5,4.5,-10.0,103.0,103.0,0,0,2,2,1.0,114.0,109.5,4.5,0.441,0.369,0.8245,46.0,17.0,16.0,9.5,3.5,4.5,114.0,114.0,2,2,-1.0,-11.0,-14.5,-0.05250000000000005,-0.144,0.0,-3.0,217.0,212.5,-2.5,-0.5,210,104,106,0022200037
2022-23,2022-10-23,OKC,,2,0,0.0,112.5,118.5,-6.0,0.4155,0.353,0.8005,52.0,25.5,13.5,8.0,5.5,-6.0,112.5,112.5,0,0,2,1,0.5,120.5,120.0,0.5,0.4365,0.29800000000000004,0.7785,57.5,22.5,17.0,5.5,6.0,0.5,120.5,120.5,1,1,-0.5,-8.0,-6.5,-0.02100000000000002,0.05499999999999994,3.5,-5.5,233.0,232.5,-2.5,-1.5,222,106,116,0022200041
2022-23,2022-10-24,CHI,,3,1,0.3333333333333333,104.0,112.66666666666667,-8.666666666666666,0.42133333333333334,0.287,0.8026666666666666,39.666666666666664,20.333333333333332,12.666666666666666,10.666666666666666,5.333333333333333,-8.666666666666666,104.0,104.0,1,1,3,3,1.0,121.0,113.66666666666667,7.333333333333333,0.521,0.39033333333333337,0.8690000000000001,38.666666666666664,21.666666666666668,13.0,5.666666666666667,6.666666666666667,7.333333333333333,121.0,121.0,3,3,-0.6666666666666667,-17.0,-16.0,-0.09966666666666668,-0.10333333333333339,0.3333333333333339,1.0,225.0,217.66666666666669,-1.5,0.5,222,120,102,0022200047
2022-23,2022-10-24,POR,,3,3,1.0,111.33333333333333,107.66666666666666,3.6666666666666665,0.4406666666666667,0.36933333333333335,0.8213333333333334,48.0,17.666666666666668,17.0,8.333333333333334,4.0,3.6666666666666665,111.33333333333333,111.33333333333333,3,3,3,2,0.6666666666666666,117.33333333333333,121.0,-3.6666666666666665,0.5036666666666666,0.39799999999999996,0.7883333333333332,40.666666666666664,28.0,19.666666666666668,8.333333333333334,3.6666666666666665,-3.6666666666666665,117.33333333333333,117.33333333333333,2,2,0.33333333333333337,-6.0,7.333333333333333,-0.06299999999999989,-0.028666666666666618,2.666666666666668,7.333333333333336,228.66666666666666,232.33333333333331,0.5,-0.5,245,135,110,0022200051
2022-23,2022-10-24,HOU,,3,0,0.0,111.33333333333333,123.66666666666666,-12.333333333333334,0.42966666666666664,0.38199999999999995,0.7686666666666667,48.666666666666664,21.0,14.666666666666666,5.666666666666667,5.0,-12.333333333333334,111.33333333333333,111.33333333333333,0,0,3,3,1.0,125.66666666666667,116.33333333333334,9.333333333333334,0.462,0.38766666666666666,0.7433333333333333,47.0,31.666666666666668,16.666666666666668,11.333333333333334,5.0,9.333333333333334,125.66666666666667,125.66666666666667,3,3,-1.0,-14.333333333333343,-21.666666666666668,-0.03233333333333338,-0.005666666666666709,2.0000000000000018,1.6666666666666643,237.0,227.66666666666669,-2.5,0.5,222,114,108,0022200048
2022-23,2022-10-24,MIA,,3,1,0.3333333333333333,108.0,112.0,-4.0,0.47333333333333333,0.36800000000000005,0.8373333333333334,42.0,24.0,15.0,5.333333333333333,2.3333333333333335,-4.0,108.0,108.0,1,1,3,1,0.3333333333333333,107.33333333333333,108.66666666666666,-1.3333333333333333,0.444,0.395,0.7120000000000001,39.666666666666664,22.666666666666668,11.333333333333334,11.0,4.333333333333333,-1.3333333333333333,107.33333333333333,107.33333333333333,1,1,0.0,0.6666666666666714,-2.666666666666667,0.029333333333333322,-0.02699999999999997,-3.666666666666666,2.3333333333333357,215.33333333333331,216.66666666666666,-1.5,-1.5,188,90,98,0022200045
2022-23,2022-10-24,MIN,,3,2,0.6666666666666666,119.0,115.33333333333333,3.6666666666666665,0.4653333333333333,0.2966666666666667,0.731,56.333333333333336,23.0,16.333333333333332,6.666666666666667,5.0,3.6666666666666665,119.0,119.0,2,2,3,2,0.6666666666666666,117.66666666666667,122.66666666666667,-5.0,0.47666666666666674,0.39166666666666666,0.7469999999999999,41.333333333333336,27.666666666666668,15.333333333333334,7.333333333333333,6.333333333333333,-5.0,117.66666666666667,117.66666666666667,2,2,0.0,1.3333333333333286,8.666666666666666,-0.011333333333333417,-0.09499999999999997,-0.9999999999999982,15.0,236.66666666666669,241.66666666666669,-0.5,-0.5,221,106,115,0022200050
2022-23,2022-10-24,MEM,,3,2,0.6666666666666666,113.33333333333333,123.66666666666666,-10.333333333333334,0.426,0.355,0.6970000000000001,47.666666666666664,24.333333333333332,14.666666666666666,6.0,8.333333333333334,-10.333333333333334,113.33333333333333,113.33333333333333,2,2,2,1,0.5,108.5,117.5,-9.0,0.46199999999999997,0.33699999999999997,0.72,41.5,24.0,14.5,6.5,11.5,-9.0,108.5,108.5,1,1,0.16666666666666663,4.833333333333329,-1.333333333333334,-0.035999999999999976,0.018000000000000016,-0.16666666666666607,6.166666666666664,221.83333333333331,230.83333333333331,-0.5,-1.5,258,134,124,0022200049
2022-23,2022-10-24,NYK,,2,1,0.5,121.0,110.5,10.5,0.465,0.33199999999999996,0.7344999999999999,52.0,28.5,12.0,5.5,5.5,10.5,121.0,121.0,1,1,3,0,0.0,109.0,115.66666666666667,-6.666666666666667,0.4583333333333333,0.3476666666666666,0.7296666666666667,46.666666666666664,19.333333333333332,15.333333333333334,6.333333333333333,6.333333333333333,-6.666666666666667,109.0,109.0,0,0,0.5,12.0,17.166666666666668,0.00666666666666671,-0.015666666666666662,3.333333333333334,5.333333333333336,230.0,236.66666666666669,-1.5,-2.5,217,115,102,0022200046
2022-23,2022-10-24,PHI,,3,0,0.0,103.33333333333333,110.0,-6.666666666666667,0.45799999999999996,0.30433333333333334,0.8176666666666667,38.333333333333336,19.666666666666668,12.0,6.666666666666667,4.333333333333333,-6.666666666666667,103.33333333333333,103.33333333333333,0,0,3,1,0.3333333333333333,121.66666666666667,122.0,-0.3333333333333333,0.443,0.3506666666666667,0.7906666666666666,47.666666666666664,27.0,14.0,7.333333333333333,8.666666666666666,-0.3333333333333333,121.66666666666667,121.66666666666667,1,1,-0.3333333333333333,-18.333333333333343,-6.333333333333334,0.014999999999999958,-0.04633333333333334,2.0,-9.333333333333329,225.0,225.33333333333331,-2.5,-1.5,226,120,106,0022200044
2022-23,2022-10-25,NOP,,3,2,0.6666666666666666,125.0,114.0,11.0,0.47766666666666663,0.37400000000000005,0.786,53.0,28.0,15.333333333333334,8.666666666666666,5.666666666666667,11.0,125.0,125.0,2,2,2,1,0.5,121.0,101.5,19.5,0.48350000000000004,0.41800000000000004,0.7255,46.0,20.0,13.5,6.5,5.5,19.5,121.0,121.0,1,1,0.16666666666666663,4.0,-8.5,-0.0058333333333334125,-0.043999999999999984,-1.833333333333334,7.0,246.0,226.5,-0.5,-1.5,224,113,111,0022200053
