Date,Home_Team,Away_Team,Closing_Total,Num_Books,Actual_Total,Result_Date,Days_Diff,Deviation,Abs_Deviation
2023-11-07,Michigan St Spartans,James Madison Dukes,143.5,6,155,2023-11-06,-1,11.5,11.5
2023-11-07,Louisiana Ragin' Cajuns,Youngstown St Penguins,149.5,2,134,2023-11-06,-1,-15.5,15.5
2023-11-07,Marquette Golden Eagles,Northern Illinois Huskies,148.2,4,162,2023-11-06,-1,13.800000000000011,13.800000000000011
2023-11-07,Middle Tennessee Blue Raiders,Northern Kentucky Norse,133.5,2,131,2023-11-06,-1,-2.5,2.5
2023-11-07,Oklahoma St Cowboys,Abilene Christian Wildcats,140.9,4,123,2023-11-06,-1,-17.900000000000006,17.900000000000006
2023-11-07,BYU Cougars,Houston Baptist Huskies,153.0,1,173,2023-11-06,-1,20.0,20.0
2023-11-07,Cincinnati Bearcats,UIC Flames,142.1,4,127,2023-11-06,-1,-15.099999999999994,15.099999999999994
2023-11-07,Duke Blue Devils,Dartmouth Big Green,140.8,7,146,2023-11-06,-1,5.199999999999989,5.199999999999989
2023-11-07,Grand Canyon Antelopes,SE Missouri St Redhawks,143.5,4,155,2023-11-06,-1,11.5,11.5
2023-11-07,Tulane Green Wave,Nicholls St Colonels,157.0,1,172,2023-11-06,-1,15.0,15.0
2023-11-07,TCU Horned Frogs,Southern Jaguars,141.2,2,183,2023-11-06,-1,41.80000000000001,41.80000000000001
2023-11-07,South Dakota St Jackrabbits,Akron Zips,141.1,4,156,2023-11-06,-1,14.900000000000006,14.900000000000006
2023-11-07,Air Force Falcons,Portland St Vikings,139.5,4,117,2023-11-06,-1,-22.5,22.5
2023-11-07,Arizona Wildcats,Morgan St Bears,155.1,5,181,2023-11-06,-1,25.900000000000006,25.900000000000006
2023-11-07,Utah Utes,Eastern Washington Eagles,142.8,4,167,2023-11-06,-1,24.19999999999999,24.19999999999999
2023-11-07,New Mexico Lobos,Texas Southern Tigers,152.2,2,135,2023-11-06,-1,-17.19999999999999,17.19999999999999
2023-11-07,Colorado St Rams,Louisiana Tech Bulldogs,140.8,4,154,2023-11-06,-1,13.199999999999989,13.199999999999989
2023-11-07,San Diego St Aztecs,CSU Fullerton Titans,131.4,7,140,2023-11-06,-1,8.599999999999994,8.599999999999994
2023-11-07,Portland Pilots,Long Beach St 49ers,157.7,7,151,2023-11-06,-1,-6.699999999999989,6.699999999999989
2023-11-07,Stanford Cardinal,CSU Northridge Matadors,141.9,4,167,2023-11-06,-1,25.099999999999994,25.099999999999994
2023-11-07,Washington St Cougars,Idaho Vandals,137.7,5,143,2023-11-06,-1,5.300000000000011,5.300000000000011
2023-11-07,Washington Huskies,Bellarmine Knights,139.0,2,148,2023-11-06,-1,9.0,9.0
2023-11-16,Vermont Catamounts,Charleston Cougars,145.7,14,137,2023-11-16,0,-8.699999999999989,8.699999999999989
2023-11-16,North Texas Mean Green,St. John's Red Storm,137.1,14,105,2023-11-16,0,-32.099999999999994,32.099999999999994
2023-11-16,Wyoming Cowboys,Saint Louis Billikens,150.0,14,148,2023-11-16,0,-2.0,2.0
2023-11-16,LSU Tigers,Dayton Flyers,133.8,14,137,2023-11-16,0,3.1999999999999886,3.1999999999999886
2023-11-16,Coastal Carolina Chanticleers,Wichita St Shockers,144.5,14,163,2023-11-16,0,18.5,18.5
2023-11-16,Air Force Falcons,Lindenwood Lions,129.1,14,134,2023-11-16,0,4.900000000000006,4.900000000000006
2023-11-16,Towson Tigers,Houston Cougars,127.5,14,114,2023-11-16,0,-13.5,13.5
