Date,Home_Team,Away_Team,Closing_Total,Num_Books,Actual_Total,Deviation,Abs_Deviation
2023-11-11,VCU Rams,Samford Bulldogs,146.5,12,140,-6.5,6.5
2023-11-11,Duke Blue Devils,Arizona Wildcats,154.1,13,151,-3.0999999999999943,3.0999999999999943
2023-11-11,Penn State Nittany Lions,Lehigh Mountain Hawks,144.5,8,139,-5.5,5.5
2023-11-11,Minnesota Golden Gophers,UTSA Roadrunners,146.5,13,178,31.5,31.5
2023-11-11,Alabama Crimson Tide,Indiana St Sycamores,162.1,12,182,19.900000000000006,19.900000000000006
2023-11-11,Iowa Hawkeyes,Alabama St Hornets,155.3,8,165,9.699999999999989,9.699999999999989
2023-11-11,Arkansas Razorbacks,Gardner-Webb Bulldogs,143.3,7,154,10.699999999999989,10.699999999999989
2023-11-11,Auburn Tigers,SE Louisiana Lions,153.2,8,157,3.8000000000000114,3.8000000000000114
2023-11-11,Kansas St Wildcats,Bellarmine Knights,144.4,8,158,13.599999999999994,13.599999999999994
2023-11-11,Colorado Buffaloes,Grambling St Tigers,137.6,8,158,20.400000000000006,20.400000000000006
2023-11-11,Rice Owls,Harvard Crimson,145.5,12,165,19.5,19.5
2023-11-11,Illinois Fighting Illini,Oakland Golden Grizzlies,148.9,12,117,-31.900000000000006,31.900000000000006
2023-11-11,Kansas Jayhawks,Manhattan Jaspers,140.4,11,160,19.599999999999994,19.599999999999994
2023-11-11,LSU Tigers,Nicholls St Colonels,147.0,7,134,-13.0,13.0
2023-11-11,Oklahoma Sooners,Miss Valley St Delta Devils,138.9,7,125,-13.900000000000006,13.900000000000006
2023-11-11,Murray St Racers,Tennessee Tech Golden Eagles,144.3,12,150,5.699999999999989,5.699999999999989
2023-11-11,Southern Illinois Salukis,Queens University Royals,140.6,7,159,18.400000000000006,18.400000000000006
2023-11-11,UIC Flames,Arkansas-Little Rock Trojans,152.4,13,157,4.599999999999994,4.599999999999994
2023-11-11,Butler Bulldogs,SE Missouri St Redhawks,147.5,12,147,-0.5,0.5
2023-11-11,Northwestern Wildcats,Dayton Flyers,126.8,13,137,10.200000000000003,10.200000000000003
2023-11-11,Marquette Golden Eagles,Rider Broncs,147.9,13,160,12.099999999999994,12.099999999999994
2023-11-11,Navy Midshipmen,Temple Owls,130.2,8,143,12.800000000000011,12.800000000000011
2023-11-11,BYU Cougars,San Diego St Aztecs,145.7,12,139,-6.699999999999989,6.699999999999989
2023-11-11,Colorado St Rams,Wright St Raiders,155.5,12,182,26.5,26.5
2023-11-11,Texas Longhorns,Delaware St Hornets,144.6,7,145,0.4000000000000057,0.4000000000000057
