Date,Home_Team,Away_Team,Closing_Total,Num_Books,Home_mapped,Away_mapped,Date_dt,Actual_Total,Result_Date,Days_Diff,Deviation,Abs_Deviation
2023-12-17,Xavier Musketeers,Winthrop Eagles,154.3,9,xavier,winthrop,2023-12-17,134,2023-12-16,-1,-20.30000000000001,20.30000000000001
2023-12-17,Alabama A&M Bulldogs,Chattanooga Mocs,150.2,9,alabama a&m,chattanooga,2023-12-17,160,2023-12-16,-1,9.800000000000011,9.800000000000011
2023-12-17,Florida St Seminoles,SMU Mustangs,147.0,11,florida state,smu,2023-12-17,125,2023-12-16,-1,-22.0,22.0
2023-12-17,Saint Louis Billikens,Louisiana Tech Bulldogs,141.5,12,saint louis,louisiana tech,2023-12-17,149,2023-12-16,-1,7.5,7.5
2023-12-17,BYU Cougars,Georgia St Panthers,149.5,11,byu,georgia state,2023-12-17,140,2023-12-16,-1,-9.5,9.5
2023-12-17,Oklahoma Sooners,Green Bay Phoenix,135.4,12,oklahoma,green bay,2023-12-17,128,2023-12-16,-1,-7.400000000000006,7.400000000000006
2023-12-17,Wyoming Cowboys,Weber State Wildcats,133.9,11,wyoming,weber state,2023-12-17,155,2023-12-16,-1,21.099999999999994,21.099999999999994
2023-12-17,North Carolina A&T Aggies,Texas Southern Tigers,145.1,9,north carolina a&t,texas southern,2023-12-17,164,2023-12-16,-1,18.900000000000006,18.900000000000006
2023-12-17,Tennessee Volunteers,NC State Wolfpack,149.2,10,tennessee,nc state,2023-12-17,149,2023-12-16,-1,-0.19999999999998863,0.19999999999998863
2023-12-31,Green Bay Phoenix,Robert Morris Colonials,137.2,12,green bay,robert morris,2023-12-31,139,2023-12-31,0,1.8000000000000114,1.8000000000000114
2023-12-31,Iowa State Cyclones,New Hampshire Wildcats,149.9,9,iowa state,new hampshire,2023-12-31,155,2023-12-31,0,5.099999999999994,5.099999999999994
2023-12-31,Mississippi St Bulldogs,Bethune-Cookman Wildcats,140.6,9,mississippi state,bethune-cookman,2023-12-31,147,2023-12-31,0,6.400000000000006,6.400000000000006
2023-12-31,Milwaukee Panthers,Wright St Raiders,165.8,12,milwaukee,wright state,2023-12-31,174,2023-12-31,0,8.199999999999989,8.199999999999989
2023-12-31,Oklahoma St Cowboys,South Carolina St Bulldogs,146.2,9,oklahoma state,south carolina state,2023-12-31,156,2023-12-31,0,9.800000000000011,9.800000000000011
2023-12-31,SIU-Edwardsville Cougars,Western Illinois Leathernecks,134.0,11,siu-edwardsville,western illinois,2023-12-31,156,2023-12-31,0,22.0,22.0
2023-12-31,Utah Utes,Washington Huskies,153.1,12,utah,washington,2023-12-31,185,2023-12-31,0,31.900000000000006,31.900000000000006
2024-01-01,California Golden Bears,Arizona St Sun Devils,149.0,12,california,arizona state,2024-01-01,140,2023-12-31,-1,-9.0,9.0
2024-01-15,Michigan Wolverines,Ohio State Buckeyes,146.9,13,michigan,ohio state,2024-01-15,138,2024-01-15,0,-8.900000000000006,8.900000000000006
2024-01-15,Harvard Crimson,Brown Bears,140.1,12,harvard,brown,2024-01-15,146,2024-01-15,0,5.900000000000006,5.900000000000006
2024-01-15,Central Connecticut St Blue Devils,Merrimack Warriors,129.2,10,central connecticut,merrimack,2024-01-15,145,2024-01-15,0,15.800000000000011,15.800000000000011
2024-01-15,Minnesota Golden Gophers,Iowa Hawkeyes,158.6,13,minnesota,iowa,2024-01-15,163,2024-01-15,0,4.400000000000006,4.400000000000006
2024-01-16,Alabama St Hornets,Alabama A&M Bulldogs,139.4,11,alabama state,alabama a&m,2024-01-16,115,2024-01-15,-1,-24.400000000000006,24.400000000000006
2024-01-16,Bethune-Cookman Wildcats,Southern Jaguars,147.3,11,bethune-cookman,southern,2024-01-16,137,2024-01-15,-1,-10.300000000000011,10.300000000000011
2024-01-16,Hampton Pirates,North Carolina A&T Aggies,151.8,13,hampton,north carolina a&t,2024-01-16,161,2024-01-15,-1,9.199999999999989,9.199999999999989
2024-01-30,Tennessee Volunteers,South Carolina Gamecocks,136.4,13,tennessee,south carolina,2024-01-30,122,2024-01-30,0,-14.400000000000006,14.400000000000006
2024-01-31,Eastern Michigan Eagles,Akron Zips,136.7,13,eastern michigan,akron,2024-01-31,123,2024-01-30,-1,-13.699999999999989,13.699999999999989
2024-01-31,Ball State Cardinals,Bowling Green Falcons,149.0,13,ball state,bowling green state,2024-01-31,153,2024-01-30,-1,4.0,4.0
2024-01-31,Ohio Bobcats,Buffalo Bulls,148.8,13,ohio,buffalo,2024-01-31,161,2024-01-30,-1,12.199999999999989,12.199999999999989
2024-01-31,Central Michigan Chippewas,Northern Illinois Huskies,144.6,13,central michigan,northern illinois,2024-01-31,161,2024-01-30,-1,16.400000000000006,16.400000000000006
2024-01-31,Dayton Flyers,George Washington Colonials,146.0,12,dayton,george washington,2024-01-31,144,2024-01-30,-1,-2.0,2.0
2024-01-31,Indiana Hoosiers,Iowa Hawkeyes,158.9,12,indiana,iowa,2024-01-31,142,2024-01-30,-1,-16.900000000000006,16.900000000000006
2024-01-31,St. Bonaventure Bonnies,VCU Rams,137.3,13,st. bonaventure,vcu,2024-01-31,129,2024-01-30,-1,-8.300000000000011,8.300000000000011
2024-01-31,Toledo Rockets,Western Michigan Broncos,155.5,13,toledo,western michigan,2024-01-31,151,2024-01-30,-1,-4.5,4.5
2024-01-31,Kansas St Wildcats,Oklahoma Sooners,138.2,13,kansas state,oklahoma,2024-01-31,126,2024-01-30,-1,-12.199999999999989,12.199999999999989
2024-01-31,Loyola (Chi) Ramblers,Saint Louis Billikens,147.0,13,loyola (il),saint louis,2024-01-31,139,2024-01-30,-1,-8.0,8.0
2024-01-31,Air Force Falcons,Wyoming Cowboys,137.0,13,air force,wyoming,2024-01-31,155,2024-01-30,-1,18.0,18.0
2024-01-31,Clemson Tigers,Louisville Cardinals,149.6,13,clemson,louisville,2024-01-31,134,2024-01-30,-1,-15.599999999999994,15.599999999999994
2024-01-31,Colorado St Rams,San Diego St Aztecs,141.2,13,colorado state,san diego state,2024-01-31,150,2024-01-30,-1,8.800000000000011,8.800000000000011
2024-01-31,DePaul Blue Demons,Seton Hall Pirates,139.3,10,depaul,seton hall,2024-01-31,111,2024-01-30,-1,-28.30000000000001,28.30000000000001
2024-01-31,Kansas Jayhawks,Oklahoma St Cowboys,145.6,13,kansas,oklahoma state,2024-01-31,137,2024-01-30,-1,-8.599999999999994,8.599999999999994
2024-01-31,Michigan St Spartans,Michigan Wolverines,145.6,13,michigan state,michigan,2024-01-31,143,2024-01-30,-1,-2.5999999999999943,2.5999999999999943
2024-01-31,UNLV Rebels,Fresno St Bulldogs,141.3,13,unlv,fresno state,2024-01-31,147,2024-01-30,-1,5.699999999999989,5.699999999999989
2024-01-31,Gonzaga Bulldogs,Loyola Marymount Lions,152.4,13,gonzaga,loyola marymount,2024-01-31,150,2024-01-30,-1,-2.4000000000000057,2.4000000000000057
2024-02-14,Army Knights,Boston Univ. Terriers,124.5,8,army,boston university,2024-02-14,115,2024-02-14,0,-9.5,9.5
2024-02-14,Penn State Nittany Lions,Michigan St Spartans,144.3,13,penn state,michigan state,2024-02-14,152,2024-02-14,0,7.699999999999989,7.699999999999989
2024-02-14,Youngstown St Penguins,Robert Morris Colonials,149.1,13,youngstown state,robert morris,2024-02-14,164,2024-02-14,0,14.900000000000006,14.900000000000006
2024-02-15,Navy Midshipmen,American Eagles,132.4,9,navy,american,2024-02-15,101,2024-02-14,-1,-31.400000000000006,31.400000000000006
2024-02-15,Colgate Raiders,Holy Cross Crusaders,141.2,8,colgate,holy cross,2024-02-15,140,2024-02-14,-1,-1.1999999999999886,1.1999999999999886
2024-02-15,Green Bay Phoenix,Northern Kentucky Norse,138.4,13,green bay,northern kentucky,2024-02-15,115,2024-02-14,-1,-23.400000000000006,23.400000000000006
2024-02-15,Mercer Bears,Wofford Terriers,136.6,13,mercer,wofford,2024-02-15,133,2024-02-14,-1,-3.5999999999999943,3.5999999999999943
2024-02-15,Seton Hall Pirates,Xavier Musketeers,145.2,10,seton hall,xavier,2024-02-15,158,2024-02-14,-1,12.800000000000011,12.800000000000011
2024-02-15,The Citadel Bulldogs,UNC Greensboro Spartans,136.0,13,the citadel,unc greensboro,2024-02-15,137,2024-02-14,-1,1.0,1.0
2024-02-15,Belmont Bruins,Southern Illinois Salukis,145.7,13,belmont,southern illinois,2024-02-15,150,2024-02-14,-1,4.300000000000011,4.300000000000011
2024-02-15,Bradley Braves,UIC Flames,140.7,13,bradley,uic,2024-02-15,158,2024-02-14,-1,17.30000000000001,17.30000000000001
2024-02-15,Fordham Rams,St. Bonaventure Bonnies,142.0,12,fordham,st. bonaventure,2024-02-15,152,2024-02-14,-1,10.0,10.0
2024-02-15,Auburn Tigers,South Carolina Gamecocks,137.5,13,auburn,south carolina,2024-02-15,162,2024-02-14,-1,24.5,24.5
2024-02-15,Maryland Terrapins,Iowa Hawkeyes,145.6,13,maryland,iowa,2024-02-15,144,2024-02-14,-1,-1.5999999999999943,1.5999999999999943
2024-02-15,Arizona St Sun Devils,Oregon St Beavers,136.9,13,arizona state,oregon state,2024-02-15,140,2024-02-14,-1,3.0999999999999943,3.0999999999999943
2024-02-15,Arkansas Razorbacks,Tennessee Volunteers,151.3,13,arkansas,tennessee,2024-02-15,155,2024-02-14,-1,3.6999999999999886,3.6999999999999886
2024-02-15,DePaul Blue Demons,UConn Huskies,141.3,13,depaul,uconn,2024-02-15,166,2024-02-14,-1,24.69999999999999,24.69999999999999
2024-02-15,Samford Bulldogs,Western Carolina Catamounts,156.5,13,samford,western carolina,2024-02-15,150,2024-02-14,-1,-6.5,6.5
2024-02-15,Wyoming Cowboys,Utah State Aggies,151.9,13,wyoming,utah state,2024-02-15,160,2024-02-14,-1,8.099999999999994,8.099999999999994
2024-02-15,Fresno St Bulldogs,UNLV Rebels,137.9,12,fresno state,unlv,2024-02-15,132,2024-02-14,-1,-5.900000000000006,5.900000000000006
2024-03-01,Albany Great Danes,New Hampshire Wildcats,163.9,8,albany (ny),new hampshire,2024-03-01,158,2024-02-29,-1,-5.900000000000006,5.900000000000006
2024-03-01,Drexel Dragons,Stony Brook Seawolves,139.3,13,drexel,stony brook,2024-03-01,176,2024-02-29,-1,36.69999999999999,36.69999999999999
2024-03-01,East Carolina Pirates,Memphis Tigers,145.9,14,east carolina,memphis,2024-03-01,140,2024-02-29,-1,-5.900000000000006,5.900000000000006
