Rank,Team,Conference,Record,AdjEM,AdjOffEff,AdjDefEff,AdjTempo
301,American,PL,0-1,-10.36,98.9,109.2,70.1
302,Loyola MD,PL,1-1,-10.54,97.6,108.2,71.0
303,Weber St.,BSky,1-0,-10.64,99.6,110.3,70.7
304,Saint Peter's,MAAC,0-1,-11.03,96.5,107.6,68.2
305,Lafayette,PL,1-1,-11.16,98.9,110.0,71.0
306,Detroit Mercy,Horz,0-1,-11.23,98.7,109.9,72.5
307,Bryant,AE,0-1,-11.26,99.8,111.1,71.6
308,Grambling St.,SWAC,1-1,-11.27,96.5,107.8,72.4
309,Oral Roberts,Sum,0-1,-11.34,100.7,112.0,73.6
310,Howard,MEAC,1-1,-11.57,100.2,111.8,73.4
311,Texas Southern,SWAC,0-2,-11.84,96.9,108.7,73.5
312,Presbyterian,BSth,1-1,-12.08,97.8,109.9,69.1
313,Kansas City,Sum,1-0,-12.14,97.7,109.8,70.5
314,Le Moyne,NEC,1-1,-12.3,99.0,111.3,71.6
315,Buffalo,MAC,1-0,-12.35,100.8,113.2,72.4
316,Gardner Webb,BSth,0-1,-12.37,98.1,110.4,73.3
317,Bellarmine,ASun,0-1,-12.57,101.4,113.9,72.4
318,North Dakota,Sum,0-2,-12.72,99.6,112.3,71.9
319,USC Upstate,BSth,1-1,-12.84,97.8,110.6,73.9
320,Denver,Sum,0-2,-12.94,99.0,112.0,72.5
321,Prairie View A&M,SWAC,2-0,-13.11,95.9,109.0,74.1
322,Georgia St.,SB,0-1,-13.17,97.1,110.3,72.2
323,Rider,MAAC,0-2,-13.18,97.9,111.1,69.3
324,West Georgia,ASun,0-1,-13.26,99.0,112.3,72.1
325,Eastern Illinois,OVC,0-1,-13.34,94.8,108.1,70.9
326,South Carolina St.,MEAC,0-1,-13.37,96.0,109.4,74.3
327,Charleston Southern,BSth,1-1,-13.4,97.1,110.5,73.2
328,Alcorn St.,SWAC,0-2,-13.46,98.5,111.9,72.5
329,Western Illinois,OVC,0-1,-13.63,100.4,114.0,68.7
330,Lindenwood,OVC,1-1,-13.73,94.9,108.7,74.0
331,Stonehill,NEC,1-0,-13.81,97.1,110.9,70.7
332,Alabama A&M,SWAC,1-1,-13.82,96.2,110.0,71.1
333,NJIT,AE,1-0,-13.88,95.8,109.7,70.2
334,Mercyhurst,NEC,1-1,-14.01,95.1,109.1,69.7
335,Cal St. Fullerton,BW,1-0,-14.01,95.4,109.4,72.4
336,East Texas A&M,Slnd,1-1,-14.03,94.4,108.5,72.6
337,Green Bay,Horz,0-1,-14.08,98.1,112.2,71.8
338,Central Connecticut,NEC,1-1,-14.24,92.9,107.1,69.8
339,North Carolina Central,MEAC,0-1,-14.41,98.9,113.3,71.9
340,Binghamton,AE,1-1,-14.43,96.1,110.6,70.5
341,Holy Cross,PL,0-1,-14.64,98.8,113.5,72.4
342,Tennessee Tech,OVC,0-1,-14.81,97.1,111.9,72.4
343,Niagara,MAAC,0-1,-15.0,96.7,111.7,70.6
344,North Florida,ASun,0-1,-15.07,100.0,115.1,74.2
345,The Citadel,SC,1-1,-15.22,96.6,111.8,69.7
346,IU Indy,Horz,0-2,-15.5,100.4,115.9,75.9
347,Army,PL,1-0,-15.97,96.1,112.1,71.5
348,Central Arkansas,ASun,0-1,-16.06,96.9,112.9,72.3
349,Florida A&M,SWAC,0-1,-16.21,95.6,111.8,73.1
350,Fairleigh Dickinson,NEC,0-1,-16.32,95.9,112.2,73.4
351,Canisius,MAAC,1-1,-16.48,95.3,111.8,70.9
352,North Carolina A&T,CAA,0-1,-16.6,95.6,112.2,74.0
353,Delaware St.,MEAC,0-1,-16.75,95.6,112.4,72.5
354,Stetson,ASun,0-1,-17.22,97.0,114.2,71.9
355,Saint Francis,NEC,0-2,-17.28,94.9,112.2,73.0
356,Morgan St.,MEAC,1-1,-17.7,94.5,112.2,74.8
357,Maryland Eastern Shore,MEAC,0-2,-17.95,90.6,108.6,69.7
358,Louisiana Monroe,SB,0-1,-18.26,97.4,115.6,72.2
359,New Hampshire,AE,1-1,-18.3,94.7,113.0,72.6
360,New Haven,NEC,0-1,-18.46,94.5,112.9,71.4
361,Wagner,NEC,0-1,-18.98,93.2,112.2,70.3
362,Chicago St.,NEC,0-2,-20.06,95.4,115.5,73.3
363,Coppin St.,MEAC,0-2,-22.25,90.2,112.4,72.2
364,Arkansas Pine Bluff,SWAC,0-2,-22.25,92.0,114.2,75.7
365,Mississippi Valley St.,SWAC,1-1,-34.42,83.8,118.2,71.8
