Rank,Team,Conference,AdjTempo
291,Lafayette,PL,66.3
292,Tennessee Martin,OVC,66.5
293,Southern Miss,SB,71.0
294,Penn,Ivy,67.1
295,Eastern Washington,BSky,67.1
296,Southern Utah,WAC,69.1
297,San Diego,WCC,71.3
298,Saint Peter's,MAAC,64.1
299,UMBC,AE,70.6
300,Weber St.,BSky,65.8
301,Utah Tech,WAC,67.6
302,Charleston Southern,BSth,67.5
303,Tennessee Tech,OVC,68.0
304,Boston University,PL,63.3
305,Loyola MD,PL,66.8
306,Fairleigh Dickinson,NEC,69.4
307,Delaware St.,MEAC,70.5
308,Long Beach St.,BW,64.3
309,Saint Francis 16,NEC,67.1
310,Air Force,MWC,64.6
311,Denver,Sum,66.7
312,IU Indy,Horz,65.0
313,Louisiana,SB,66.4
314,Howard,MEAC,70.2
315,Rider,MAAC,65.0
316,Eastern Illinois,OVC,66.4
317,Florida A&M,SWAC,67.4
318,Army,PL,68.0
319,Grambling St.,SWAC,64.0
320,Binghamton,AE,65.9
321,Holy Cross,PL,66.2
322,Niagara,MAAC,65.3
323,Stonehill,NEC,65.2
324,North Carolina Central,MEAC,67.0
325,Alcorn St.,SWAC,64.9
326,East Texas A&M,Slnd,67.5
327,Lindenwood,OVC,69.8
328,Morehead St.,OVC,64.2
329,Coastal Carolina,SB,63.4
330,Oral Roberts,Sum,67.5
331,Morgan St.,MEAC,70.6
332,Green Bay,Horz,69.1
333,Stony Brook,CAA,64.6
334,Fairfield,MAAC,66.2
335,Southern Indiana,OVC,67.2
336,North Carolina A&T,CAA,69.2
337,Detroit Mercy,Horz,67.2
338,Western Carolina,SC,70.6
339,Buffalo,MAC,70.9
340,USC Upstate,BSth,72.9
341,New Orleans,Slnd,69.4
342,Mercyhurst,NEC,64.9
343,Northern Illinois,MAC,69.1
344,Louisiana Monroe,SB,67.9
345,Western Illinois,OVC,64.5
346,Wagner,NEC,60.5
347,Bellarmine,ASun,66.4
348,Sacramento St.,BSky,65.8
349,Central Arkansas,ASun,66.6
350,West Georgia,ASun,68.2
351,Cal St. Fullerton,BW,68.3
352,Stetson,ASun,67.8
353,NJIT,AE,66.7
354,Le Moyne,NEC,68.8
355,The Citadel,SC,64.8
356,New Hampshire,AE,67.6
357,Prairie View A&M,SWAC,70.4
358,Maryland Eastern Shore,MEAC,65.8
359,Canisius,MAAC,66.4
360,Alabama A&M,SWAC,71.2
361,Coppin St.,MEAC,68.0
362,Chicago St.,NEC,68.5
363,Arkansas Pine Bluff,SWAC,71.6
364,Mississippi Valley St.,SWAC,65.0
