Rank,Team,Conference,Record,AdjEM,AdjOffEff,AdjDefEff,AdjTempo
140,Duquesne,A10,13-19,2.16,105.9,103.8,65.4
141,Milwaukee,Horz,21-11,2.11,107.5,105.4,68.9
142,East Tennessee St.,SC,19-13,1.89,106.8,104.9,65.3
143,UNC Greensboro,SC,20-12,1.84,107.3,105.5,64.0
144,Tulane,Amer,19-15,1.42,108.3,106.8,67.1
145,Seattle,WAC,14-18,1.37,104.0,102.6,66.2
146,Miami OH,MAC,25-9,1.09,108.1,107.0,69.2
147,Davidson,A10,17-16,1.08,109.5,108.5,66.1
148,UC Santa Barbara,BW,21-13,1.07,108.7,107.6,65.7
149,Bryant 15,AE,23-12,0.92,106.8,105.8,72.7
150,Texas A&M Corpus Chris,Slnd,20-14,0.81,106.4,105.6,67.6
151,Radford,BSth,20-13,0.62,110.5,109.9,63.0
152,Towson,CAA,22-11,0.58,107.0,106.4,63.8
153,Charleston,CAA,24-9,0.48,106.1,105.6,70.2
154,Cleveland St.,Horz,23-13,0.45,105.0,104.5,65.6
155,Loyola Marymount,WCC,17-15,0.39,104.2,103.8,67.4
156,Purdue Fort Wayne,Horz,19-13,0.37,109.3,109.0,70.0
157,Rhode Island,A10,18-13,0.35,108.0,107.6,70.6
158,Lamar,Slnd,20-13,0.31,102.4,102.1,65.6
159,UC Riverside,BW,21-13,0.28,109.8,109.5,67.3
160,James Madison,SB,20-12,0.24,110.6,110.4,65.1
161,Western Kentucky,CUSA,17-15,0.21,103.5,103.3,71.9
162,UTEP,CUSA,18-15,0.18,105.3,105.1,69.0
163,Montana 14,BSky,25-10,0.07,110.6,110.6,67.3
164,Virginia Tech,ACC,13-19,-0.02,106.5,106.5,65.3
165,Nebraska Omaha 15,Sum,22-13,-0.06,111.0,111.1,67.7
166,Winthrop,BSth,23-11,-0.13,108.4,108.5,72.9
167,Nicholls,Slnd,20-13,-0.24,106.0,106.3,68.3
168,Marshall,SB,20-13,-0.3,106.5,106.8,68.9
169,San Jose St.,MWC,15-20,-0.45,107.2,107.7,66.7
170,Appalachian St.,SB,17-14,-0.45,101.2,101.7,63.4
171,Illinois Chicago,MVC,17-14,-0.52,107.3,107.8,69.3
172,Cal Baptist,WAC,17-15,-0.63,105.7,106.4,65.9
173,Temple,Amer,17-15,-0.68,110.1,110.8,68.9
174,Oakland,Horz,16-18,-0.91,107.4,108.3,64.1
175,Sam Houston St.,CUSA,13-19,-1.05,110.4,111.5,67.8
176,East Carolina,Amer,19-14,-1.11,107.1,108.2,66.8
177,Princeton,Ivy,19-11,-1.45,105.4,106.9,66.7
178,Norfolk St. 16,MEAC,24-11,-1.63,107.5,109.1,66.5
179,Florida Gulf Coast,ASun,19-15,-1.81,107.2,109.0,65.5
180,Central Connecticut,NEC,25-7,-1.87,99.9,101.7,66.0
181,Boston College,ACC,12-19,-2.0,105.4,107.4,66.9
182,Cal Poly,BW,16-19,-2.13,109.4,111.5,74.7
183,Drexel,CAA,18-15,-2.19,104.0,106.2,63.2
184,Merrimack,MAAC,18-15,-2.21,99.9,102.1,64.7
185,Wyoming,MWC,12-20,-2.23,103.5,105.8,64.8
186,Southeastern Louisiana,Slnd,18-14,-2.23,105.0,107.2,67.1
187,Eastern Kentucky,ASun,18-14,-2.24,109.5,111.8,67.8
188,Rice,Amer,13-19,-2.26,106.5,108.7,65.5
189,Montana St.,BSky,15-18,-2.28,105.2,107.5,66.1
190,Southern Illinois,MVC,14-19,-2.39,106.0,108.4,68.1
191,UTSA,Amer,12-19,-2.39,107.4,109.8,70.1
192,South Carolina St.,MEAC,20-13,-2.49,102.6,105.1,69.4
193,Miami FL,ACC,7-24,-2.61,113.5,116.1,67.7
194,Texas St.,SB,16-16,-2.77,109.7,112.4,66.2
195,Ohio,MAC,16-16,-2.81,106.3,109.1,70.5
196,South Florida,Amer,13-19,-2.84,103.6,106.5,68.5
197,Indiana St.,MVC,14-18,-2.85,109.4,112.2,72.4
198,Central Michigan,MAC,14-17,-2.85,105.5,108.4,67.4
199,Youngstown St.,Horz,21-13,-2.87,102.4,105.3,69.4
200,Jacksonville,ASun,19-14,-2.89,101.5,104.4,67.8
201,UNC Asheville,BSth,21-11,-3.19,109.1,112.3,68.4
202,Southeast Missouri,OVC,21-12,-3.2,102.1,105.3,69.1
203,Dartmouth,Ivy,14-14,-3.37,100.3,103.6,71.2
204,Seton Hall,BE,7-25,-3.42,98.8,102.2,64.7
205,Valparaiso,MVC,15-19,-3.49,106.2,109.7,68.2
206,Elon,CAA,17-16,-3.69,107.5,111.2,65.5
207,Portland St.,BSky,19-13,-3.71,100.5,104.2,68.7
208,Brown,Ivy,14-13,-3.75,103.2,107.0,66.0
209,Northeastern,CAA,17-15,-3.87,103.7,107.5,67.6
210,Longwood,BSth,18-14,-3.9,106.1,110.0,69.2
211,Idaho St.,BSky,15-15,-4.0,105.9,109.9,66.2
212,Queens,ASun,20-15,-4.09,107.0,111.1,68.7
213,Quinnipiac,MAAC,20-13,-4.1,102.1,106.2,71.8
214,Wright St.,Horz,15-18,-4.24,109.8,114.1,67.7
215,Hampton,CAA,17-16,-4.29,103.8,108.1,65.7
216,Pepperdine,WCC,13-22,-4.36,106.4,110.8,69.3
217,SIUE 16,OVC,22-12,-4.5,101.8,106.3,66.2
218,Hofstra,CAA,15-18,-4.57,98.0,102.6,63.8
219,Maine,AE,20-14,-4.6,100.1,104.7,66.2
220,Campbell,CAA,15-17,-4.61,101.7,106.3,66.1
221,Abilene Christian,WAC,16-16,-4.66,97.7,102.3,69.6
222,Massachusetts,A10,12-20,-4.74,102.1,106.9,70.5
223,Northwestern St.,Slnd,16-16,-4.75,103.0,107.8,64.2
224,Incarnate Word,Slnd,19-17,-4.76,107.6,112.4,65.0
225,Little Rock,OVC,19-14,-4.93,99.3,104.2,67.2
226,Bucknell,PL,18-15,-4.97,102.8,107.8,67.5
227,Hawaii,BW,15-16,-5.11,103.1,108.2,66.1
228,UT Arlington,WAC,13-18,-5.16,107.4,112.6,67.8
229,La Salle,A10,14-19,-5.23,103.6,108.9,68.8
230,Northern Kentucky,Horz,17-16,-5.32,102.9,108.2,66.3
231,Southern,SWAC,20-12,-5.44,99.2,104.7,68.7
