date,player_name,team,opponent,prop_type,market_line,actual_value,hit,difference,timestamp
2025-11-13,"Donovan Mitchell","Cleveland Cavaliers","Toronto Raptors",steals,1.5,2.0,1,0.5,"2025-11-14 21:29:56"
2025-11-13,"Donovan Mitchell","Cleveland Cavaliers","Toronto Raptors",rebounds,4.5,13.0,1,8.5,"2025-11-14 21:29:47"
2025-11-13,"Donovan Mitchell","Cleveland Cavaliers","Toronto Raptors",PRA,39.5,45.0,1,5.5,"2025-11-14 21:29:34"
2025-11-13,"Donovan Mitchell","Cleveland Cavaliers","Toronto Raptors",points,28.5,23.0,0,-5.5,"2025-11-14 21:29:25"
2025-11-13,"Donovan Mitchell","Cleveland Cavaliers","Toronto Raptors",blocks,0.5,0.0,0,-0.5,"2025-11-14 21:29:15"
2025-11-13,"Evan Mobley","Cleveland Cavaliers","Toronto Raptors",assists,3.5,1.0,0,-2.5,"2025-11-14 23:04:12"
2025-11-13,"Evan Mobley","Cleveland Cavaliers","Toronto Raptors",threes,1.5,0.0,0,-1.5,"2025-11-14 21:30:11"
2025-11-13,"Evan Mobley","Cleveland Cavaliers","Toronto Raptors",steals,1.5,1.0,0,-0.5,"2025-11-14 21:29:55"
2025-11-13,"Evan Mobley","Cleveland Cavaliers","Toronto Raptors",rebounds,9.5,7.0,0,-2.5,"2025-11-14 21:29:44"
2025-11-13,"Evan Mobley","Cleveland Cavaliers","Toronto Raptors",PRA,34.5,22.0,0,-12.5,"2025-11-14 21:29:35"
2025-11-13,"Evan Mobley","Cleveland Cavaliers","Toronto Raptors",points,18.5,14.0,0,-4.5,"2025-11-14 21:29:26"
2025-11-13,"Evan Mobley","Cleveland Cavaliers","Toronto Raptors",blocks,1.5,1.0,0,-0.5,"2025-11-14 21:29:10"
2025-11-13,"Grayson Allen","Phoenix Suns","Indiana Pacers",blocks,0.5,0.0,0,-0.5,"2025-11-14 21:32:52"
2025-11-13,"Grayson Allen","Phoenix Suns","Indiana Pacers",threes,3.5,0.0,0,-3.5,"2025-11-14 21:32:44"
2025-11-13,"Grayson Allen","Phoenix Suns","Indiana Pacers",steals,1.5,0.0,0,-1.5,"2025-11-14 21:32:30"
2025-11-13,"Grayson Allen","Phoenix Suns","Indiana Pacers",rebounds,3.5,0.0,0,-3.5,"2025-11-14 21:32:27"
2025-11-13,"Grayson Allen","Phoenix Suns","Indiana Pacers",PRA,22.5,0.0,0,-22.5,"2025-11-14 21:32:07"
2025-11-13,"Grayson Allen","Phoenix Suns","Indiana Pacers",points,16.5,0.0,0,-16.5,"2025-11-14 21:32:02"
2025-11-13,"Grayson Allen","Phoenix Suns","Indiana Pacers",assists,3.5,0.0,0,-3.5,"2025-11-14 21:31:45"
2025-11-13,"Isaiah Jackson","Phoenix Suns","Indiana Pacers",blocks,0.5,1.0,1,0.5,"2025-11-14 21:33:00"
2025-11-13,"Isaiah Jackson","Phoenix Suns","Indiana Pacers",steals,0.5,2.0,1,1.5,"2025-11-14 21:32:38"
2025-11-13,"Isaiah Jackson","Phoenix Suns","Indiana Pacers",rebounds,5.5,7.0,1,1.5,"2025-11-14 21:32:19"
