game_id,season,game_date,home_team,away_team,actual_total,home_score,away_score,pred_lower,pred_mean,pred_upper,pred_std,pred_error,abs_pred_error,simulated_line_drift,simulated_live_line,z_score,abs_z_score,is_alert,confidence,bet_direction,theoretical_win_prob,random_outcome,bet_wins,pnl
22200879,2022-23,2023-02-15,MEM,,228,117,111,212.2178,228.15735,251.54915,15.363807,-0.1573486328125,0.1573486328125,38.823301397116396,266.9806500299289,2.5269324258736217,2.5269324258736217,True,HIGH,UNDER,0.68,0.6260547089808013,True,100
22200914,2022-23,2023-02-26,CLE,,211,118,93,200.3115,218.04564,240.20836,15.584714,-7.0456390380859375,7.0456390380859375,33.71370603309638,251.7593450711823,2.16325472330546,2.16325472330546,True,MEDIUM,UNDER,0.62,0.6463099336573813,False,-110
22200934,2022-23,2023-03-01,DET,,232,115,117,207.40613,229.65121,247.03893,15.481562,2.348785400390625,2.348785400390625,-34.04094999747469,195.6102646021347,-2.198805956620082,2.198805956620082,True,MEDIUM,OVER,0.62,0.6825117301162001,False,-110
22200982,2022-23,2023-03-07,OKC,,265,137,128,216.69191,244.02115,265.46066,19.050295,20.978851318359375,20.978851318359375,-46.17561591636102,197.84553276527961,-2.4238793266289567,2.4238793266289567,True,MEDIUM,OVER,0.62,0.8194956853860523,False,-110
22200996,2022-23,2023-03-09,MEM,,241,131,110,213.84048,232.26485,251.05586,14.537257,8.735153198242188,8.735153198242188,-29.68122490530141,202.5836218964564,-2.0417348684242906,2.0417348684242906,True,MEDIUM,OVER,0.62,0.12985701341788103,True,100
22201005,2022-23,2023-03-11,CHA,,230,111,119,214.88393,231.79417,252.16017,14.561033,-1.7941741943359375,1.7941741943359375,30.217942566440556,262.0121167607765,2.0752608726252655,2.0752608726252655,True,MEDIUM,UNDER,0.62,0.579792843832955,True,100
22201022,2022-23,2023-03-13,MIA,,234,119,115,207.63834,230.66782,245.58983,14.824802,3.332183837890625,3.332183837890625,31.758734750973733,262.42655091308313,2.1422703586118637,2.1422703586118637,True,MEDIUM,UNDER,0.62,0.9117851123817714,False,-110
22201059,2022-23,2023-03-18,WAS,,250,118,132,208.36252,228.91612,249.65189,16.12866,21.083877563476562,21.083877563476562,-45.94317599913219,182.97294643739124,-2.8485426206300755,2.8485426206300755,True,HIGH,OVER,0.68,0.6434289495173308,True,100
22201087,2022-23,2023-03-22,CHI,,207,91,116,206.51859,223.8577,246.24615,15.518582,-16.857696533203125,16.857696533203125,32.22818459073945,256.08588112394256,2.076747983560841,2.076747983560841,True,MEDIUM,UNDER,0.62,0.9799554473582784,False,-110
22201106,2022-23,2023-03-24,LAL,,227,116,111,213.75308,227.17467,252.69618,15.212149,-0.1746673583984375,0.1746673583984375,-44.05826738889035,183.11639996950808,-2.8962553781936893,2.8962553781936893,True,HIGH,OVER,0.68,0.7374314414271221,False,-110
22201102,2022-23,2023-03-24,UTA,,260,116,144,213.69197,244.69438,261.46286,18.660503,15.305618286132812,15.305618286132812,38.97012325282811,283.6645049666953,2.0883747047807275,2.0883747047807275,True,MEDIUM,UNDER,0.62,0.25283740069028926,True,100
22201113,2022-23,2023-03-26,CHA,,214,110,104,206.61108,217.06299,248.3402,16.300434,-3.06298828125,3.06298828125,39.176717392249486,256.2397056734995,2.403415585238275,2.403415585238275,True,MEDIUM,UNDER,0.62,0.6522811128184463,False,-110
22201160,2022-23,2023-03-31,PHX,,193,100,93,206.33975,229.55663,244.5514,14.926428,-36.55662536621094,36.55662536621094,-32.1424221446303,197.41420322158064,-2.153390113603715,2.153390113603715,True,MEDIUM,OVER,0.62,0.05662555737755803,True,100
22201149,2022-23,2023-03-31,IND,,238,121,117,211.43634,233.68413,258.48685,18.379105,4.3158721923828125,4.3158721923828125,41.3977533033231,275.0818811109403,2.2524358053443088,2.2524358053443088,True,MEDIUM,UNDER,0.62,0.4458866198598078,True,100
22201162,2022-23,2023-04-01,NOP,,236,122,114,205.81184,228.52837,249.43677,17.040987,7.4716339111328125,7.4716339111328125,-42.592340331803754,185.93602575706342,-2.499405714873573,2.499405714873573,True,MEDIUM,OVER,0.62,0.17396370590333865,True,100
22201161,2022-23,2023-04-01,MIA,,251,129,122,204.94424,223.67215,240.35118,13.830835,27.327850341796875,27.327850341796875,31.685649500413366,255.3577991586165,2.2909425725907417,2.2909425725907417,True,MEDIUM,UNDER,0.62,0.36121605897581177,True,100
22201175,2022-23,2023-04-02,DEN,,222,112,110,211.25311,224.34734,250.24617,15.231664,-2.3473358154296875,2.3473358154296875,37.161488174185614,261.5088239896153,2.439752406339273,2.439752406339273,True,MEDIUM,UNDER,0.62,0.5347994662811925,True,100
22201224,2022-23,2023-04-09,DAL,,255,117,138,210.68161,245.50218,259.00018,18.874443,9.497817993164062,9.497817993164062,40.48849505492394,285.99067706175987,2.1451491277733883,2.1451491277733883,True,MEDIUM,UNDER,0.62,0.9956451766743493,False,-110
22201226,2022-23,2023-04-09,OKC,,215,115,100,211.23634,225.74976,256.42136,17.650396,-10.749755859375,10.749755859375,39.01660711234892,264.76636297172394,2.2105230015913513,2.2105230015913513,True,MEDIUM,UNDER,0.62,0.19231577278435052,True,100
