game_id,season,game_date,home_team,away_team,actual_total,home_score,away_score,pred_lower,pred_mean,pred_upper,pred_std,z_score,abs_z_score,is_alert,confidence,bet_direction,simulated_live_line,bet_wins,pnl
22300064,2023-24,2023-10-25,IND,,263,143,120,204.08864,227.04314,242.68901,15.078271,2.384680817367313,2.384680817367313,True,MEDIUM,UNDER,252.21294097900392,False,-110
22300100,2023-24,2023-10-29,SAC,,259,132,127,211.52621,225.89993,245.08261,13.107967,2.5251868720306736,2.5251868720306736,True,HIGH,UNDER,249.06997985839843,False,-110
22300160,2023-24,2023-11-08,BKN,,193,100,93,207.69357,232.96779,251.4182,17.079931,-2.3400438848291807,2.3400438848291807,True,MEDIUM,OVER,204.9903366088867,False,-110
22300014,2023-24,2023-11-10,DAL,,270,144,126,208.33359,234.31166,252.09138,17.09289,2.0879055373724125,2.0879055373724125,True,MEDIUM,UNDER,259.29349822998046,False,-110
22300219,2023-24,2023-11-20,WAS,,271,129,142,214.98755,232.94789,255.35677,15.769226,2.4130612742536663,2.4130612742536663,True,MEDIUM,UNDER,259.5843673706055,False,-110
22300227,2023-24,2023-11-22,ATL,,292,147,145,216.58278,233.92209,258.83054,16.50303,3.5192269930184215,3.5192269930184215,True,HIGH,UNDER,274.5766265869141,False,-110
22300272,2023-24,2023-11-30,SAS,,272,135,137,216.0508,238.36363,252.24792,14.1395035,2.378893137782315,2.378893137782315,True,MEDIUM,UNDER,261.90908966064455,False,-110
22301210,2023-24,2023-12-06,MIN,,196,102,94,204.60336,234.14326,251.13469,18.1763,-2.0985164564868093,2.0985164564868093,True,MEDIUM,OVER,207.44297943115234,False,-110
22301227,2023-24,2023-12-08,BOS,,256,133,123,205.40761,220.85538,247.39473,16.40122,2.1428053592043597,2.1428053592043597,True,MEDIUM,UNDER,245.45661315917968,False,-110
22300298,2023-24,2023-12-11,HOU,,175,93,82,205.44876,224.31514,250.38138,17.551804,-2.809690726130708,2.809690726130708,True,HIGH,OVER,189.79454193115234,False,-110
22300371,2023-24,2023-12-20,HOU,,261,127,134,214.61081,230.2535,250.6147,14.06402,2.1861818594100004,2.1861818594100004,True,MEDIUM,UNDER,251.7760482788086,False,-110
22300437,2023-24,2023-12-29,POR,,262,134,128,209.68173,228.00201,246.84128,14.515448,2.34219341613805,2.34219341613805,True,MEDIUM,UNDER,251.80060424804688,False,-110
22300476,2023-24,2024-01-03,SAC,,273,138,135,213.0295,233.20988,258.36005,17.707247,2.247109098885929,2.247109098885929,True,MEDIUM,UNDER,261.0629653930664,False,-110
22300474,2023-24,2024-01-03,UTA,,302,154,148,212.09105,236.29549,250.50102,15.003896,4.379163558760482,4.379163558760482,True,HIGH,UNDER,282.2886459350586,False,-110
22300536,2023-24,2024-01-12,CHI,,271,131,140,208.23972,224.65546,246.8671,15.08882,3.0714490630792057,3.0714490630792057,True,HIGH,UNDER,257.0966369628906,False,-110
22300557,2023-24,2024-01-15,NYK,,192,94,98,206.45947,226.6353,245.69748,15.327347,-2.25970614031158,2.25970614031158,True,MEDIUM,OVER,202.39058990478514,False,-110
22300633,2023-24,2024-01-25,LAL,,273,141,132,211.17342,234.1138,257.77075,18.202085,2.1363595925238403,2.1363595925238403,True,MEDIUM,UNDER,261.3341400146484,False,-110
22300634,2023-24,2024-01-26,ATL,,291,143,148,212.05118,231.3368,277.35388,25.50887,2.338919547892724,2.338919547892724,True,MEDIUM,UNDER,273.10104217529295,False,-110
22300650,2023-24,2024-01-27,GSW,,289,144,145,217.14478,240.5858,274.96866,22.587456,2.143410943047366,2.143410943047366,True,MEDIUM,UNDER,274.47574005126955,False,-110
22300688,2023-24,2024-02-02,DET,,261,125,136,211.823,227.69017,254.08223,16.507513,2.017858754287126,2.017858754287126,True,MEDIUM,UNDER,251.00705108642578,False,-110
22300758,2023-24,2024-02-10,POR,,177,84,93,192.34181,223.35727,246.35391,21.098476,-2.197185634946163,2.197185634946163,True,MEDIUM,OVER,190.9071807861328,False,-110
22300844,2023-24,2024-02-28,TOR,,261,125,136,215.71439,226.9203,252.46095,14.354128,2.3742087942153396,2.3742087942153396,True,MEDIUM,UNDER,250.77609100341797,False,-110
22300976,2023-24,2024-03-17,MIL,,269,140,129,212.85428,231.21736,257.50723,17.44256,2.166117710096037,2.166117710096037,True,MEDIUM,UNDER,257.6652084350586,False,-110
