team,season,games_played,goals_for,goals_against,goals_per_game,goals_against_per_game,xgoals_for,xgoals_against,xgoals_per_game,xgoals_against_per_game,goals_above_expected,shots_per_game,shots_against_per_game,shot_attempts_per_game,shot_attempts_against_per_game,shooting_pct,save_pct,faceoff_win_pct,corsi_for_pct,fenwick_for_pct,xgoals_pct,pdo,high_danger_shots_for,high_danger_shots_against,high_danger_goals_for,high_danger_goals_against,hd_shooting_pct,hd_save_pct,medium_danger_shots_for,medium_danger_shots_against,low_danger_shots_for,low_danger_shots_against,rebound_goals_for,rebound_goals_against,rebounds_for,rebounds_against,penalties_for,penalties_against,penalty_minutes_for,penalty_minutes_against,power_play_pct,penalty_kill_pct,win_pct
l.a,20202021,56,142.0,169.0,2.5357142857142856,3.017857142857143,132.82,164.21,2.371785714285714,2.9323214285714285,9.180000000000007,28.357142857142858,31.178571428571427,51.607142857142854,56.535714285714285,8.942065491183879,0.9032073310423826,50.6036217303823,0.48,0.48,0.45,99.26279859542214,135.0,185.0,49.0,53.0,36.2962962962963,0.7135135135135136,316.0,404.0,1746.0,1832.0,31.0,27.0,145.0,158.0,171.0,181.0,377.0,403.0,20.0,80.0,0.0
bos,20202021,56,164.0,134.0,2.9285714285714284,2.392857142857143,153.9,132.77,2.748214285714286,2.370892857142857,10.099999999999994,33.32142857142857,27.071428571428573,57.57142857142857,49.732142857142854,8.788853161843516,0.9116094986807388,55.268138801261834,0.54,0.54,0.54,99.9498030299174,132.0,108.0,55.0,40.0,41.66666666666667,0.6296296296296297,440.0,418.0,1971.0,1601.0,25.0,19.0,101.0,83.0,215.0,189.0,479.0,437.0,20.0,80.0,0.6
min,20202021,56,180.0,159.0,3.2142857142857144,2.8392857142857144,154.6,144.41,2.7607142857142857,2.57875,25.400000000000006,28.339285714285715,30.446428571428573,50.642857142857146,57.32142857142857,11.342155009451796,0.9067448680351906,46.53586756591048,0.47,0.48,0.52,102.01664181297086,163.0,127.0,55.0,40.0,33.74233128834356,0.6850393700787402,420.0,372.0,1617.0,1886.0,29.0,22.0,145.0,121.0,194.0,194.0,440.0,442.0,20.0,80.0,0.6
wpg,20202021,56,170.0,152.0,3.0357142857142856,2.7142857142857144,154.29,172.53,2.7551785714285715,3.080892857142857,15.710000000000008,29.660714285714285,30.589285714285715,53.339285714285715,55.892857142857146,10.234798314268513,0.911266783420899,50.321271559012516,0.49,0.49,0.47,101.3614766563584,151.0,169.0,59.0,49.0,39.0728476821192,0.7100591715976332,446.0,541.0,1649.0,1653.0,22.0,21.0,113.0,140.0,168.0,178.0,362.0,380.0,20.0,80.0,0.6
s.j,20202021,56,146.0,196.0,2.607142857142857,3.5,157.02,156.99,2.8039285714285715,2.8033928571428572,-11.02000000000001,30.035714285714285,31.982142857142858,54.30357142857143,58.785714285714285,8.680142687277051,0.8905639307649358,48.447401774397974,0.48,0.48,0.5,97.73653576377063,165.0,155.0,48.0,60.0,29.09090909090909,0.6129032258064516,427.0,444.0,1724.0,1881.0,26.0,31.0,161.0,132.0,204.0,186.0,466.0,417.0,20.0,80.0,0.0
cgy,20202021,56,155.0,160.0,2.767857142857143,2.857142857142857,159.16,147.3,2.842142857142857,2.630357142857143,-4.159999999999997,30.160714285714285,28.160714285714285,56.142857142857146,50.94642857142857,9.177027827116637,0.8985415345592898,49.95137763371151,0.52,0.52,0.52,99.03118128304561,151.0,135.0,47.0,50.0,31.125827814569533,0.6296296296296297,471.0,456.0,1774.0,1585.0,23.0,23.0,111.0,92.0,201.0,201.0,445.0,447.0,20.0,80.0,0.0
stl,20202021,56,167.0,167.0,2.982142857142857,2.982142857142857,134.83,156.89,2.407678571428572,2.8016071428571427,32.16999999999999,29.017857142857142,29.785714285714285,51.517857142857146,54.982142857142854,10.276923076923076,0.8998800959232613,53.33969465648855,0.48,0.48,0.46,100.26493266924922,126.0,158.0,46.0,50.0,36.507936507936506,0.6835443037974683,343.0,422.0,1677.0,1741.0,20.0,33.0,107.0,150.0,191.0,174.0,432.0,398.0,20.0,80.0,0.0
ott,20202021,56,155.0,189.0,2.767857142857143,3.375,149.54,162.73,2.6703571428571427,2.905892857142857,5.460000000000008,29.696428571428573,32.125,54.214285714285715,58.660714285714285,9.320505111244739,0.8949416342412452,47.38709677419355,0.48,0.48,0.48,98.81466853536926,125.0,156.0,44.0,57.0,35.199999999999996,0.6346153846153846,470.0,491.0,1728.0,1831.0,23.0,28.0,129.0,114.0,208.0,204.0,489.0,491.0,20.0,80.0,0.0
edm,20202021,56,183.0,154.0,3.267857142857143,2.75,174.76,156.46,3.1207142857142856,2.7939285714285718,8.240000000000009,29.928571428571427,30.660714285714285,54.017857142857146,55.92857142857143,10.918854415274463,0.9103086779266162,50.419885791064836,0.49,0.49,0.53,101.94972220793609,169.0,140.0,57.0,43.0,33.72781065088758,0.6928571428571428,561.0,467.0,1554.0,1724.0,20.0,22.0,108.0,121.0,169.0,190.0,382.0,421.0,20.0,80.0,0.6
nsh,20202021,56,151.0,154.0,2.6964285714285716,2.75,147.83,156.21,2.639821428571429,2.7894642857142857,3.1699999999999875,29.928571428571427,31.285714285714285,53.607142857142854,54.142857142857146,9.009546539379475,0.9121004566210046,51.68360864040661,0.5,0.5,0.49,100.21959220147993,124.0,136.0,45.0,54.0,36.29032258064516,0.6029411764705883,421.0,427.0,1789.0,1736.0,22.0,22.0,112.0,118.0,196.0,190.0,442.0,416.0,20.0,80.0,0.0
