game_id,pulling_team,score_differential,period,goals_by_pulling_team,goals_by_opponent,total_goals_after_pull,outcome,pulling_team_tied_game
21089,COL,-1,3,0,0,0,no_goal,True
21093,VAN,-1,3,1,1,2,both_scored,True
21094,TBL,-1,3,1,0,1,pulling_team_scored,True
21098,NYR,-1,3,2,0,2,pulling_team_scored,True
21100,DET,-2,3,1,0,1,pulling_team_scored,True
21102,NJD,-2,3,1,0,1,pulling_team_scored,True
21103,STL,-2,3,1,0,1,pulling_team_scored,True
21107,VGK,-1,3,1,0,1,pulling_team_scored,True
21110,DAL,-2,3,0,0,0,no_goal,True
21118,TOR,-2,3,1,0,1,pulling_team_scored,True
21120,VAN,-2,3,1,1,2,both_scored,True
21126,NJD,-3,3,1,0,1,pulling_team_scored,True
21128,OTT,-1,3,1,0,1,pulling_team_scored,True
21129,FLA,-2,3,1,0,1,pulling_team_scored,True
21130,DAL,-1,3,1,0,1,pulling_team_scored,True
21132,BUF,-1,3,2,0,2,pulling_team_scored,True
21135,LAK,-2,3,0,1,1,opponent_scored,True
21138,PIT,-1,3,2,0,2,pulling_team_scored,True
21139,NJD,-2,3,1,0,1,pulling_team_scored,True
21148,OTT,-3,3,1,0,1,pulling_team_scored,True
21149,TBL,-1,3,1,0,1,pulling_team_scored,True
21151,NYI,-1,3,0,0,0,no_goal,True
21152,MTL,-2,3,2,1,3,both_scored,True
21153,OTT,-2,3,0,0,0,no_goal,True
21154,PIT,-1,3,0,0,0,no_goal,True
21156,MIN,-1,3,1,0,1,pulling_team_scored,True
21157,STL,-1,3,1,0,1,pulling_team_scored,True
21158,VGK,-1,3,2,0,2,pulling_team_scored,True
21160,EDM,-2,3,1,0,1,pulling_team_scored,True
21161,ARI,-3,3,2,1,3,both_scored,True
21162,SEA,-2,3,0,0,0,no_goal,True
21163,DAL,-1,3,1,0,1,pulling_team_scored,True
21164,BUF,-1,3,2,0,2,pulling_team_scored,True
21166,VGK,0,4,1,0,1,pulling_team_scored,True
21168,NYR,-1,3,2,0,2,pulling_team_scored,True
21169,COL,-2,3,1,0,1,pulling_team_scored,True
21172,CAR,-2,3,1,0,1,pulling_team_scored,True
21174,TBL,-2,3,1,0,1,pulling_team_scored,True
21177,SJS,-3,3,1,0,1,pulling_team_scored,True
21179,DAL,-2,3,1,0,1,pulling_team_scored,True
21181,CBJ,-2,3,1,0,1,pulling_team_scored,True
21182,PIT,-1,3,2,0,2,pulling_team_scored,True
21183,NYI,-1,3,1,1,2,both_scored,True
21184,DET,-1,3,1,0,1,pulling_team_scored,True
21185,TOR,-1,3,1,0,1,pulling_team_scored,True
21187,WPG,-1,3,0,0,0,no_goal,True
21188,SEA,-1,3,1,0,1,pulling_team_scored,True
21191,PIT,-2,3,1,0,1,pulling_team_scored,True
21194,BOS,-2,3,1,0,1,pulling_team_scored,True
21198,NYR,-1,3,0,0,0,no_goal,True
21200,VAN,-1,3,0,0,0,no_goal,True
21202,BOS,-2,3,1,0,1,pulling_team_scored,True
21203,NYI,-1,3,1,0,1,pulling_team_scored,True
21204,TBL,-2,3,1,0,1,pulling_team_scored,True
21206,PIT,-2,3,1,0,1,pulling_team_scored,True
21207,COL,-2,3,1,0,1,pulling_team_scored,True
21208,NSH,-1,3,2,0,2,pulling_team_scored,True
21209,WPG,-2,3,1,0,1,pulling_team_scored,True
21211,BUF,-2,3,0,0,0,no_goal,True
21212,CAR,-1,3,1,0,1,pulling_team_scored,True
21213,NYR,-1,3,0,0,0,no_goal,True
21216,ARI,-2,3,1,0,1,pulling_team_scored,True
21225,NYI,-1,3,1,0,1,pulling_team_scored,True
21226,EDM,-1,3,1,0,1,pulling_team_scored,True
21228,DET,-2,3,0,0,0,no_goal,True
21231,ARI,-2,3,1,0,1,pulling_team_scored,True
21234,NYR,-2,3,1,0,1,pulling_team_scored,True
21236,DAL,-2,3,1,0,1,pulling_team_scored,True
21238,VAN,-1,3,0,0,0,no_goal,True
21243,TOR,-2,3,1,0,1,pulling_team_scored,True
21244,NYI,-1,3,1,0,1,pulling_team_scored,True
21245,TBL,-2,3,1,0,1,pulling_team_scored,True
21246,DAL,-1,3,0,0,0,no_goal,True
21249,ANA,-2,3,0,0,0,no_goal,True
21255,BUF,-2,3,1,1,2,both_scored,True
21262,WPG,-2,3,1,0,1,pulling_team_scored,True
21264,LAK,-2,3,1,0,1,pulling_team_scored,True
21265,CAR,-1,3,2,0,2,pulling_team_scored,True
21274,PHI,-1,3,0,0,0,no_goal,True
21279,BOS,-2,3,1,1,2,both_scored,True
21280,VAN,-1,3,1,0,1,pulling_team_scored,True
21281,LAK,-2,3,0,0,0,no_goal,True
21283,STL,-2,3,1,0,1,pulling_team_scored,True
21285,CAR,-1,3,1,0,1,pulling_team_scored,True
21289,PIT,-2,3,0,0,0,no_goal,True
21290,BUF,-2,3,0,0,0,no_goal,True
21291,WSH,-1,3,1,0,1,pulling_team_scored,True
21295,OTT,-1,3,1,0,1,pulling_team_scored,True
21297,FLA,-2,3,1,0,1,pulling_team_scored,True
21299,WSH,0,3,1,0,1,pulling_team_scored,True
21300,WPG,-1,3,0,0,0,no_goal,True
21301,VGK,-1,3,1,0,1,pulling_team_scored,True
21303,NYI,-1,3,0,0,0,no_goal,True
21304,TBL,-3,3,0,1,1,opponent_scored,True
21306,ARI,-2,3,1,0,1,pulling_team_scored,True
21307,SEA,-1,3,1,1,2,both_scored,True
21308,WPG,-1,3,1,0,1,pulling_team_scored,True
21311,ANA,-2,3,1,0,1,pulling_team_scored,True
30111,FLA,-1,3,1,1,2,both_scored,True
30113,FLA,-1,3,1,0,1,pulling_team_scored,True
30115,FLA,-3,3,2,0,2,pulling_team_scored,True
30121,BOS,-3,3,1,0,1,pulling_team_scored,True
30122,TOR,-1,3,0,0,0,no_goal,True
30123,BOS,-1,3,1,0,1,pulling_team_scored,True
30124,BOS,-2,3,0,0,0,no_goal,True
30126,TOR,-2,3,0,1,1,opponent_scored,True
30132,NYR,-1,3,0,0,0,no_goal,True
30133,NYR,-2,3,0,0,0,no_goal,True
30134,NYR,-1,3,1,0,1,pulling_team_scored,True
30141,CAR,-1,3,1,0,1,pulling_team_scored,True
30142,CAR,-1,3,1,0,1,pulling_team_scored,True
30145,CAR,-2,3,1,0,1,pulling_team_scored,True
30151,VGK,-1,3,0,0,0,no_goal,True
30152,VGK,-1,3,1,0,1,pulling_team_scored,True
30154,DAL,-1,3,1,0,1,pulling_team_scored,True
30155,DAL,-1,3,0,0,0,no_goal,True
30156,VGK,-1,3,1,0,1,pulling_team_scored,True
30162,COL,-2,3,1,0,1,pulling_team_scored,True
30163,COL,-3,3,1,0,1,pulling_team_scored,True
30164,COL,-3,3,1,0,1,pulling_team_scored,True
30165,COL,-2,3,1,0,1,pulling_team_scored,True
30171,VAN,-1,3,1,0,1,pulling_team_scored,True
30172,NSH,-2,3,1,0,1,pulling_team_scored,True
30174,NSH,-1,3,0,2,2,opponent_scored,True
30181,EDM,-2,3,1,0,1,pulling_team_scored,True
30211,BOS,-3,3,1,0,1,pulling_team_scored,True
30213,FLA,-2,3,2,0,2,pulling_team_scored,True
30225,CAR,-2,3,1,0,1,pulling_team_scored,True
30226,NYR,-1,3,1,0,1,pulling_team_scored,True
30232,DAL,-1,3,1,0,1,pulling_team_scored,True
30233,DAL,-1,3,2,0,2,pulling_team_scored,True
30234,DAL,-3,3,1,0,1,pulling_team_scored,True
30235,COL,-2,3,0,0,0,no_goal,True
30243,VAN,-2,3,0,1,1,opponent_scored,True
30311,FLA,-2,3,1,0,1,pulling_team_scored,True
30315,FLA,-1,3,1,1,2,both_scored,True
30322,DAL,-1,3,1,0,1,pulling_team_scored,True
30323,DAL,-1,3,1,0,1,pulling_team_scored,True
30324,EDM,-2,3,1,0,1,pulling_team_scored,True
30325,EDM,-2,3,0,0,0,no_goal,True
30411,FLA,-2,3,1,0,1,pulling_team_scored,True
30412,FLA,-2,3,1,0,1,pulling_team_scored,True
30413,FLA,-1,3,0,0,0,no_goal,True
30415,EDM,-1,3,1,0,1,pulling_team_scored,True
30416,EDM,-2,3,2,0,2,pulling_team_scored,True
30417,FLA,-1,3,0,0,0,no_goal,True
