game_id,date,team,period,pull_time,time_remaining_seconds,score_differential,home_score_at_pull,away_score_at_pull,goal_scored_after,goal_by_trailing_team,goal_by_opponent,time_to_goal_seconds,outcome,final_home_score,final_away_score,total_goals_added
2023020820,2024-02-12,CGY,3,19:41,79,2,2,0,True,False,True,0,opponent_scored,2,0,0
2023020821,2024-02-12,ARI,3,18:39,141,2,5,3,True,False,True,0,opponent_scored,5,3,0
2023020822,2024-02-12,VGK,3,19:38,82,2,3,5,True,False,True,0,opponent_scored,3,5,0
2023020826,2024-02-13,CBJ,3,19:52,68,3,6,3,True,False,True,0,opponent_scored,6,3,0
2023020827,2024-02-13,STL,3,18:21,159,3,4,1,True,False,True,0,opponent_scored,4,1,0
2023020828,2024-02-13,WSH,3,19:01,119,2,3,5,True,False,True,0,opponent_scored,3,5,0
2023020830,2024-02-13,CAR,3,17:35,205,2,4,2,True,False,True,0,opponent_scored,4,2,0
2023020831,2024-02-13,NSH,3,19:21,99,2,2,4,True,False,True,0,opponent_scored,2,4,0
2023020837,2024-02-15,BOS,3,19:41,79,3,1,4,True,False,True,0,opponent_scored,1,4,0
2023020838,2024-02-15,BUF,3,18:27,153,3,0,3,True,False,True,0,opponent_scored,0,3,0
2023020842,2024-02-15,COL,3,19:28,92,2,5,3,True,False,True,0,opponent_scored,5,3,0
2023020844,2024-02-15,EDM,3,17:07,233,3,6,3,True,False,True,0,opponent_scored,6,3,0
2023020845,2024-02-15,CHI,3,19:10,110,3,1,4,True,False,True,0,opponent_scored,1,4,0
2023020855,2024-02-17,STL,3,18:28,152,3,2,5,True,False,True,0,opponent_scored,2,5,0
2023020859,2024-02-17,PHI,3,18:15,165,3,6,3,True,False,True,0,opponent_scored,6,3,0
2023020868,2024-02-19,STL,3,19:22,98,2,2,4,True,False,True,0,opponent_scored,2,4,0
2023020869,2024-02-19,VAN,3,18:53,127,2,9,7,True,False,True,0,opponent_scored,9,7,0
2023020871,2024-02-19,ARI,3,18:51,129,3,3,6,True,False,True,0,opponent_scored,3,6,0
2023020872,2024-02-19,WPG,3,18:03,177,3,6,3,True,False,True,0,opponent_scored,6,3,0
2023020874,2024-02-19,CHI,3,18:11,169,3,6,3,True,False,True,0,opponent_scored,6,3,0
2023020877,2024-02-20,DAL,3,18:19,161,2,3,1,True,False,True,0,opponent_scored,3,1,0
2023020880,2024-02-20,MIN,3,17:02,238,3,6,3,True,False,True,0,opponent_scored,6,3,0
2023020881,2024-02-20,VAN,3,19:32,88,2,3,1,True,False,True,0,opponent_scored,3,1,0
2023020882,2024-02-20,VGK,3,18:11,169,2,3,5,True,False,True,0,opponent_scored,3,5,0
2023020886,2024-02-21,ANA,3,19:27,93,3,4,7,True,False,True,0,opponent_scored,4,7,0
2023020893,2024-02-22,MTL,3,18:35,145,3,4,1,True,False,True,0,opponent_scored,4,1,0
